Název,Rating,Streaming,Odkaz
15 minut,64,None,https://www.csfd.cz/film/11967-15-minut/prehled/
ad astra,61,['hbo max'],https://www.csfd.cz/film/528090-ad-astra/prehled/
187 - kód pro vraždu,75,None,https://www.csfd.cz/film/7680-187-kod-pro-vrazdu/prehled/
automata,57,None,https://www.csfd.cz/film/304693-automata/prehled/
batman - dying is easy,71,None,https://www.csfd.cz/film/998756-batman-dying-is-easy/prehled/
apollo 13,85,None,https://www.csfd.cz/film/4541-apollo-13/prehled/
2001 vesmírná odysea,79,None,https://www.csfd.cz/film/5393-2001-vesmirna-odysea/prehled/
bad milo!,45,None,https://www.csfd.cz/film/336586-milo/prehled/
battle royale,76,None,https://www.csfd.cz/film/75154-battle-royale/prehled/
americká vražda rodina od vedle,75,['netflix'],https://www.csfd.cz/film/911013-americka-vrazda-rodina-od-vedle/prehled/
bajo la rosa,71,None,https://www.csfd.cz/film/545118-bajo-la-rosa/prehled/
